year,DriverId,Number,code,forename,surname,dob,nationality,url
1950,levrett,,,Bayliss,Levrett,1914-02-14,American,http://en.wikipedia.org/wiki/Bayliss_Levrett
1950,louveau,,,Henri,Louveau,1910-01-25,French,http://en.wikipedia.org/wiki/Henri_Louveau
1950,guy_mairesse,,,Guy,Mairesse,1910-08-10,French,http://en.wikipedia.org/wiki/Guy_Mairesse
1950,manzon,,,Robert,Manzon,1917-04-12,French,http://en.wikipedia.org/wiki/Robert_Manzon
1950,martin,,,Eugène,Martin,1915-03-24,French,http://en.wikipedia.org/wiki/Eug%C3%A8ne_Martin
1950,mcdowell,,,Johnny,McDowell,1915-01-29,American,http://en.wikipedia.org/wiki/Johnny_McDowell
1950,mcgrath,,,Jack,McGrath,1919-10-08,American,http://en.wikipedia.org/wiki/Jack_McGrath_(racing_driver)
1950,murray,,,David,Murray,1909-12-28,British,http://en.wikipedia.org/wiki/David_Murray_(driver)
1950,pagani,,,Nello,Pagani,1911-10-11,Italian,http://en.wikipedia.org/wiki/Nello_Pagani
1950,reg_parnell,,,Reg,Parnell,1911-07-02,British,http://en.wikipedia.org/wiki/Reg_Parnell
1950,parsons,,,Johnnie,Parsons,1918-07-04,American,http://en.wikipedia.org/wiki/Johnnie_Parsons
1950,pian,,,Alfredo,Pián,1912-10-21,Argentine,http://en.wikipedia.org/wiki/Alfredo_Pi%C3%A0n
1950,pietsch,,,Paul,Pietsch,1911-06-20,German,http://en.wikipedia.org/wiki/Paul_Pietsch
1950,pozzi,,,Charles,Pozzi,1909-08-27,French,http://en.wikipedia.org/wiki/Charles_Pozzi
1950,dick_rathmann,,,Dick,Rathmann,1924-01-06,American,http://en.wikipedia.org/wiki/Dick_Rathmann
1950,rathmann,,,Jim,Rathmann,1928-07-16,American,http://en.wikipedia.org/wiki/Jim_Rathmann
1950,rol,,,Franco,Rol,1908-06-05,Italian,http://en.wikipedia.org/wiki/Franco_Rol
1950,rolt,,,Tony,Rolt,1918-10-16,British,http://en.wikipedia.org/wiki/Tony_Rolt
1950,rose,,,Mauri,Rose,1906-05-26,American,http://en.wikipedia.org/wiki/Mauri_Rose
1950,rosier,,,Louis,Rosier,1905-11-05,French,http://en.wikipedia.org/wiki/Louis_Rosier
1950,paul_russo,,,Paul,Russo,1914-04-10,American,http://en.wikipedia.org/wiki/Paul_Russo
1950,ruttman,,,Troy,Ruttman,1930-03-11,American,http://en.wikipedia.org/wiki/Troy_Ruttman
1950,sanesi,,,Consalvo,Sanesi,1911-03-28,Italian,http://en.wikipedia.org/wiki/Consalvo_Sanesi
1950,schell,,,Harry,Schell,1921-06-29,American,http://en.wikipedia.org/wiki/Harry_Schell
1950,schindler,,,Bill,Schindler,1909-03-06,American,http://en.wikipedia.org/wiki/Bill_Schindler
1950,serafini,,,Dorino,Serafini,1909-07-22,Italian,http://en.wikipedia.org/wiki/Dorino_Serafini
1950,shawe_taylor,,,Brian,Shawe Taylor,1915-01-28,British,http://en.wikipedia.org/wiki/Brian_Shawe_Taylor
1950,sommer,,,Raymond,Sommer,1906-08-31,French,http://en.wikipedia.org/wiki/Raymond_Sommer
1950,taruffi,,,Piero,Taruffi,1906-10-12,Italian,http://en.wikipedia.org/wiki/Piero_Taruffi
1950,trintignant,,,Maurice,Trintignant,1917-10-30,French,http://en.wikipedia.org/wiki/Maurice_Trintignant
1950,villoresi,,,Luigi,Villoresi,1909-05-16,Italian,http://en.wikipedia.org/wiki/Luigi_Villoresi
1950,peter_walker,,,Peter,Walker,1912-10-07,British,http://en.wikipedia.org/wiki/Peter_Walker_(driver)
1950,wallard,,,Lee,Wallard,1910-09-07,American,http://en.wikipedia.org/wiki/Lee_Wallard
1950,webb,,,Travis,Webb,1910-10-08,American,http://en.wikipedia.org/wiki/Travis_Webb
1950,whitehead,,,Peter,Whitehead,1914-11-12,British,http://en.wikipedia.org/wiki/Peter_Whitehead_(racing_driver)
1951,abecassis,,,George,Abecassis,1913-03-21,British,http://en.wikipedia.org/wiki/George_Abecassis
1951,agabashian,,,Fred,Agabashian,1913-08-21,American,http://en.wikipedia.org/wiki/Fred_Agabashian
1951,ascari,,,Alberto,Ascari,1918-07-13,Italian,http://en.wikipedia.org/wiki/Alberto_Ascari
1951,ayulo,,,Manny,Ayulo,1921-10-20,American,http://en.wikipedia.org/wiki/Manny_Ayulo
1951,ball,,,Bobby,Ball,1925-08-26,American,http://en.wikipedia.org/wiki/Bobby_Ball_(auto_racer)
1951,banks,,,Henry,Banks,1913-06-14,American,http://en.wikipedia.org/wiki/Henry_Banks
1951,bettenhausen,,,Tony,Bettenhausen,1916-09-12,American,http://en.wikipedia.org/wiki/Tony_Bettenhausen
1951,bira,,,Prince,Bira,1914-07-15,Thai,http://en.wikipedia.org/wiki/Prince_Bira
1951,bonetto,,,Felice,Bonetto,1903-06-09,Italian,http://en.wikipedia.org/wiki/Felice_Bonetto
1951,branca,,,Toni,Branca,1916-09-15,Swiss,http://en.wikipedia.org/wiki/Toni_Branca
1951,walt_brown,,,Walt,Brown,1911-12-30,American,http://en.wikipedia.org/wiki/Walt_Brown_(auto_racer)
1951,cabantous,,,Yves,Cabantous,1904-10-08,French,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous
1951,darter,,,Duane,Carter,1913-05-05,American,http://en.wikipedia.org/wiki/Duane_Carter
1951,chaboud,,,Eugène,Chaboud,1907-04-12,French,http://en.wikipedia.org/wiki/Eug%C3%A8ne_Chaboud
1951,chiron,,,Louis,Chiron,1899-08-03,Monegasque,http://en.wikipedia.org/wiki/Louis_Chiron
1951,claes,,,Johnny,Claes,1916-08-11,Belgian,http://en.wikipedia.org/wiki/Johnny_Claes
1951,george_connor,,,George,Connor,1906-08-16,American,http://en.wikipedia.org/wiki/George_Connor_(driver)
1951,davies,,,Jimmy,Davies,1929-08-08,American,http://en.wikipedia.org/wiki/Jimmy_Davies
1951,graffenried,,,Toulo,de Graffenried,1914-05-18,Swiss,http://en.wikipedia.org/wiki/Toulo_de_Graffenried
1951,dinsmore,,,Duke,Dinsmore,1913-04-10,American,http://en.wikipedia.org/wiki/Duke_Dinsmore
1951,etancelin,,,Philippe,Étancelin,1896-12-28,French,http://en.wikipedia.org/wiki/Philippe_%C3%89tancelin
1951,fagioli,,,Luigi,Fagioli,1898-06-09,Italian,http://en.wikipedia.org/wiki/Luigi_Fagioli
1951,fangio,,,Juan,Fangio,1911-06-24,Argentine,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio
1951,farina,,,Nino,Farina,1906-10-30,Italian,http://en.wikipedia.org/wiki/Nino_Farina
1951,faulkner,,,Walt,Faulkner,1920-02-16,American,http://en.wikipedia.org/wiki/Walt_Faulkner
1951,fischer,,,Rudi,Fischer,1912-04-19,Swiss,http://en.wikipedia.org/wiki/Rudi_Fischer
1951,forberg,,,Carl,Forberg,1911-03-04,American,http://en.wikipedia.org/wiki/Carl_Forberg
1951,force,,,Gene,Force,1916-06-15,American,http://en.wikipedia.org/wiki/Gene_Force
1951,parker,,,Philip,Fotheringham-Parker,1907-09-22,British,http://en.wikipedia.org/wiki/Philip_Fotheringham-Parker
1951,gerard,,,Bob,Gerard,1914-01-19,British,http://en.wikipedia.org/wiki/Bob_Gerard
1951,godia,,,Paco,Godia,1921-03-21,Spanish,http://en.wikipedia.org/wiki/Paco_Godia
1951,gonzalez,,,José Froilán,González,1922-10-05,Argentine,http://en.wikipedia.org/wiki/Jos%C3%A9_Froil%C3%A1n_Gonz%C3%A1lez
1951,gordini,,,Aldo,Gordini,1921-05-20,French,http://en.wikipedia.org/wiki/Aldo_Gordini
1951,green,,,Cecil,Green,1919-09-30,American,http://en.wikipedia.org/wiki/Cecil_Green
1951,griffith,,,Cliff,Griffith,1916-02-06,American,http://en.wikipedia.org/wiki/Cliff_Griffith
1951,grignard,,,Georges,Grignard,1905-07-25,French,http://en.wikipedia.org/wiki/Georges_Grignard
1951,duncan_hamilton,,,Duncan,Hamilton,1920-04-30,British,http://en.wikipedia.org/wiki/Duncan_Hamilton_(racing_driver)
1951,hanks,,,Sam,Hanks,1914-07-13,American,http://en.wikipedia.org/wiki/Sam_Hanks
1951,hellings,,,Mack,Hellings,1915-09-14,American,http://en.wikipedia.org/wiki/Mack_Hellings
1951,hirt,,,Peter,Hirt,1910-03-30,Swiss,http://en.wikipedia.org/wiki/Peter_Hirt
1951,john_james,,,John,James,1914-05-10,British,http://en.wikipedia.org/wiki/John_James_(auto_racer)
1951,james,,,Joe,James,1925-05-23,American,http://en.wikipedia.org/wiki/Joe_James_(racing_driver)
1951,jover,,,Juan,Jover,1903-11-23,Spanish,http://en.wikipedia.org/wiki/Juan_Jover
1951,kelly,,,Joe,Kelly,1913-03-13,Irish,http://en.wikipedia.org/wiki/Joe_Kelly_(Formula_One)
1951,landi,,,Chico,Landi,1907-07-14,Brazilian,http://en.wikipedia.org/wiki/Chico_Landi
1951,levegh,,,Pierre,Levegh,1905-12-22,French,http://en.wikipedia.org/wiki/Pierre_Levegh
1951,linden,,,Andy,Linden,1922-04-05,American,http://en.wikipedia.org/wiki/Andy_Linden_(racing_driver)
1951,louveau,,,Henri,Louveau,1910-01-25,French,http://en.wikipedia.org/wiki/Henri_Louveau
1951,mackey,,,Bill,Mackey,1927-12-15,American,http://en.wikipedia.org/wiki/Bill_Mackey
1951,guy_mairesse,,,Guy,Mairesse,1910-08-10,French,http://en.wikipedia.org/wiki/Guy_Mairesse
1951,manzon,,,Robert,Manzon,1917-04-12,French,http://en.wikipedia.org/wiki/Robert_Manzon
1951,marimon,,,Onofre,Marimón,1923-12-19,Argentine,http://en.wikipedia.org/wiki/Onofre_Marim%C3%B3n
1951,mcdowell,,,Johnny,McDowell,1915-01-29,American,http://en.wikipedia.org/wiki/Johnny_McDowell
1951,mcgrath,,,Jack,McGrath,1919-10-08,American,http://en.wikipedia.org/wiki/Jack_McGrath_(racing_driver)
1951,miller,,,Chet,Miller,1902-07-19,American,http://en.wikipedia.org/wiki/Chet_Miller
1951,moss,,,Stirling,Moss,1929-09-17,British,http://en.wikipedia.org/wiki/Stirling_Moss
1951,murray,,,David,Murray,1909-12-28,British,http://en.wikipedia.org/wiki/David_Murray_(driver)
1951,nalon,,,Duke,Nalon,1913-03-02,American,http://en.wikipedia.org/wiki/Duke_Nalon
1951,nazaruk,,,Mike,Nazaruk,1921-10-02,American,http://en.wikipedia.org/wiki/Mike_Nazaruk
1951,reg_parnell,,,Reg,Parnell,1911-07-02,British,http://en.wikipedia.org/wiki/Reg_Parnell
1951,parsons,,,Johnnie,Parsons,1918-07-04,American,http://en.wikipedia.org/wiki/Johnnie_Parsons
1951,pietsch,,,Paul,Pietsch,1911-06-20,German,http://en.wikipedia.org/wiki/Paul_Pietsch
1951,andre_pilette,,,André,Pilette,1918-10-06,Belgian,http://en.wikipedia.org/wiki/Andr%C3%A9_Pilette
1951,richardson,,,Ken,Richardson,1911-08-21,British,http://en.wikipedia.org/wiki/Ken_Richardson_(race_car_driver)
1951,rol,,,Franco,Rol,1908-06-05,Italian,http://en.wikipedia.org/wiki/Franco_Rol
1951,rose,,,Mauri,Rose,1906-05-26,American,http://en.wikipedia.org/wiki/Mauri_Rose
1951,rosier,,,Louis,Rosier,1905-11-05,French,http://en.wikipedia.org/wiki/Louis_Rosier
1951,ruttman,,,Troy,Ruttman,1930-03-11,American,http://en.wikipedia.org/wiki/Troy_Ruttman
1951,sanesi,,,Consalvo,Sanesi,1911-03-28,Italian,http://en.wikipedia.org/wiki/Consalvo_Sanesi
1951,scarborough,,,Carl,Scarborough,1914-07-03,American,http://en.wikipedia.org/wiki/Carl_Scarborough
1951,schell,,,Harry,Schell,1921-06-29,American,http://en.wikipedia.org/wiki/Harry_Schell
1951,schindler,,,Bill,Schindler,1909-03-06,American,http://en.wikipedia.org/wiki/Bill_Schindler
1951,shawe_taylor,,,Brian,Shawe Taylor,1915-01-28,British,http://en.wikipedia.org/wiki/Brian_Shawe_Taylor
1951,simon,,,André,Simon,1920-01-05,French,http://en.wikipedia.org/wiki/Andr%C3%A9_Simon_(racing_driver)
1951,stevenson,,,Chuck,Stevenson,1919-10-15,American,http://en.wikipedia.org/wiki/Chuck_Stevenson
1951,swaters,,,Jacques,Swaters,1926-10-30,American,http://en.wikipedia.org/wiki/Jacques_Swaters
1951,taruffi,,,Piero,Taruffi,1906-10-12,Italian,http://en.wikipedia.org/wiki/Piero_Taruffi
1951,trintignant,,,Maurice,Trintignant,1917-10-30,French,http://en.wikipedia.org/wiki/Maurice_Trintignant
1951,villoresi,,,Luigi,Villoresi,1909-05-16,Italian,http://en.wikipedia.org/wiki/Luigi_Villoresi
1951,vukovich,,,Bill,Vukovich,1918-12-13,American,http://en.wikipedia.org/wiki/Bill_Vukovich
1951,peter_walker,,,Peter,Walker,1912-10-07,British,http://en.wikipedia.org/wiki/Peter_Walker_(driver)
1951,wallard,,,Lee,Wallard,1910-09-07,American,http://en.wikipedia.org/wiki/Lee_Wallard
1951,ward,,,Rodger,Ward,1921-01-10,American,http://en.wikipedia.org/wiki/Rodger_Ward
1951,whitehead,,,Peter,Whitehead,1914-11-12,British,http://en.wikipedia.org/wiki/Peter_Whitehead_(racing_driver)
1952,abecassis,,,George,Abecassis,1913-03-21,British,http://en.wikipedia.org/wiki/George_Abecassis
1952,agabashian,,,Fred,Agabashian,1913-08-21,American,http://en.wikipedia.org/wiki/Fred_Agabashian
1952,ascari,,,Alberto,Ascari,1918-07-13,Italian,http://en.wikipedia.org/wiki/Alberto_Ascari
1952,aston,,,Bill,Aston,1900-03-29,British,http://en.wikipedia.org/wiki/Bill_Aston
1952,ayulo,,,Manny,Ayulo,1921-10-20,American,http://en.wikipedia.org/wiki/Manny_Ayulo
1952,ball,,,Bobby,Ball,1925-08-26,American,http://en.wikipedia.org/wiki/Bobby_Ball_(auto_racer)
1952,balsa,,,Marcel,Balsa,1909-01-01,French,http://en.wikipedia.org/wiki/Marcel_Balsa
1952,banks,,,Henry,Banks,1913-06-14,American,http://en.wikipedia.org/wiki/Henry_Banks
1952,bayol,,,Élie,Bayol,1914-02-28,French,http://en.wikipedia.org/wiki/%C3%89lie_Bayol
1952,bechem,,,Günther,Bechem,1921-12-21,German,http://en.wikipedia.org/wiki/G%C3%BCnther_Bechem
1952,behra,,,Jean,Behra,1921-02-16,French,http://en.wikipedia.org/wiki/Jean_Behra
1952,bettenhausen,,,Tony,Bettenhausen,1916-09-12,American,http://en.wikipedia.org/wiki/Tony_Bettenhausen
1952,bianco,,,Gino,Bianco,1916-07-22,Brazilian,http://en.wikipedia.org/wiki/Gino_Bianco
1952,bira,,,Prince,Bira,1914-07-15,Thai,http://en.wikipedia.org/wiki/Prince_Bira
1952,bonetto,,,Felice,Bonetto,1903-06-09,Italian,http://en.wikipedia.org/wiki/Felice_Bonetto
1952,brandon,,,Eric,Brandon,1920-07-18,British,http://en.wikipedia.org/wiki/Eric_Brandon
1952,alan_brown,,,Alan,Brown,1919-11-20,British,http://en.wikipedia.org/wiki/Alan_Brown_(racing_driver)
1952,brudes,,,Adolf,Brudes,1899-10-15,German,http://en.wikipedia.org/wiki/Adolf_Brudes
1952,bryan,,,Jimmy,Bryan,1926-01-28,American,http://en.wikipedia.org/wiki/Jimmy_Bryan
1952,cabantous,,,Yves,Cabantous,1904-10-08,French,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous
1952,cantoni,,,Eitel,Cantoni,1906-10-04,Uruguayan,http://en.wikipedia.org/wiki/Eitel_Cantoni
1952,carini,,,Piero,Carini,1921-03-06,Italian,http://en.wikipedia.org/wiki/Piero_Carini
1952,darter,,,Duane,Carter,1913-05-05,American,http://en.wikipedia.org/wiki/Duane_Carter
1952,claes,,,Johnny,Claes,1916-08-11,Belgian,http://en.wikipedia.org/wiki/Johnny_Claes
1952,collins,,,Peter,Collins,1931-11-06,British,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver)
1952,comotti,,,Franco,Comotti,1906-07-24,Italian,http://en.wikipedia.org/wiki/Franco_Comotti
1952,george_connor,,,George,Connor,1906-08-16,American,http://en.wikipedia.org/wiki/George_Connor_(driver)
1952,crespo,,,Alberto,Crespo,1920-01-16,Argentine,http://en.wikipedia.org/wiki/Alberto_Crespo
1952,crook,,,Tony,Crook,1920-02-16,British,http://en.wikipedia.org/wiki/Tony_Crook
1952,cross,,,Art,Cross,1918-01-24,American,http://en.wikipedia.org/wiki/Art_Cross
1952,graffenried,,,Toulo,de Graffenried,1914-05-18,Swiss,http://en.wikipedia.org/wiki/Toulo_de_Graffenried
1952,terra,,,Max,de Terra,1918-10-06,Swiss,http://en.wikipedia.org/wiki/Max_de_Terra
1952,tornaco,,,Charles,de Tornaco,1927-06-07,Belgian,http://en.wikipedia.org/wiki/Charles_de_Tornaco
1952,downing,,,Ken,Downing,1917-12-05,British,http://en.wikipedia.org/wiki/Ken_Downing
1952,dusio,,,Piero,Dusio,1899-10-13,Italian,http://en.wikipedia.org/wiki/Piero_Dusio
1952,etancelin,,,Philippe,Étancelin,1896-12-28,French,http://en.wikipedia.org/wiki/Philippe_%C3%89tancelin
1952,farina,,,Nino,Farina,1906-10-30,Italian,http://en.wikipedia.org/wiki/Nino_Farina
1952,fischer,,,Rudi,Fischer,1912-04-19,Swiss,http://en.wikipedia.org/wiki/Rudi_Fischer
1952,flinterman,,,Jan,Flinterman,1919-10-02,Dutch,http://en.wikipedia.org/wiki/Jan_Flinterman
1952,fonder,,,George,Fonder,1917-06-22,American,http://en.wikipedia.org/wiki/George_Fonder
1952,frere,,,Paul,Frère,1917-01-30,Belgian,http://en.wikipedia.org/wiki/Paul_Fr%C3%A8re
1952,gaze,,,Tony,Gaze,1920-02-03,Australian,http://en.wikipedia.org/wiki/Tony_Gaze
1952,gonzalez,,,José Froilán,González,1922-10-05,Argentine,http://en.wikipedia.org/wiki/Jos%C3%A9_Froil%C3%A1n_Gonz%C3%A1lez
1952,griffith,,,Cliff,Griffith,1916-02-06,American,http://en.wikipedia.org/wiki/Cliff_Griffith
1952,duncan_hamilton,,,Duncan,Hamilton,1920-04-30,British,http://en.wikipedia.org/wiki/Duncan_Hamilton_(racing_driver)
1952,hanks,,,Sam,Hanks,1914-07-13,American,http://en.wikipedia.org/wiki/Sam_Hanks
1952,hartley,,,Gene,Hartley,1926-01-28,American,http://en.wikipedia.org/wiki/Gene_Hartley
1952,hawthorn,,,Mike,Hawthorn,1929-04-10,British,http://en.wikipedia.org/wiki/Mike_Hawthorn
1952,heeks,,,Willi,Heeks,1922-02-13,German,http://en.wikipedia.org/wiki/Willi_Heeks
1952,helfrich,,,Theo,Helfrich,1913-05-13,German,http://en.wikipedia.org/wiki/Theo_Helfrich
1952,hirt,,,Peter,Hirt,1910-03-30,Swiss,http://en.wikipedia.org/wiki/Peter_Hirt
1952,james,,,Joe,James,1925-05-23,American,http://en.wikipedia.org/wiki/Joe_James_(racing_driver)
1952,johnson,,,Eddie,Johnson,1919-02-10,American,http://en.wikipedia.org/wiki/Eddie_Johnson_(auto_racer)
1952,klenk,,,Hans,Klenk,1919-10-28,German,http://en.wikipedia.org/wiki/Hans_Klenk
1952,klodwig,,,Ernst,Klodwig,1903-05-23,East German,http://en.wikipedia.org/wiki/Ernst_Klodwig
1952,krause,,,Rudolf,Krause,1907-03-30,East German,http://en.wikipedia.org/wiki/Rudolf_Krause
1952,landi,,,Chico,Landi,1907-07-14,Brazilian,http://en.wikipedia.org/wiki/Chico_Landi
1952,laurent,,,Roger,Laurent,1913-02-21,Belgian,http://en.wikipedia.org/wiki/Roger_Laurent
1952,legat,,,Arthur,Legat,1898-11-01,Belgian,http://en.wikipedia.org/wiki/Arthur_Legat
1952,linden,,,Andy,Linden,1922-04-05,American,http://en.wikipedia.org/wiki/Andy_Linden_(racing_driver)
1952,macklin,,,Lance,Macklin,1919-09-02,British,http://en.wikipedia.org/wiki/Lance_Macklin
1952,manzon,,,Robert,Manzon,1917-04-12,French,http://en.wikipedia.org/wiki/Robert_Manzon
1952,mcalpine,,,Kenneth,McAlpine,1920-09-21,British,http://en.wikipedia.org/wiki/Kenneth_McAlpine
1952,mcdowell,,,Johnny,McDowell,1915-01-29,American,http://en.wikipedia.org/wiki/Johnny_McDowell
1952,mcgrath,,,Jack,McGrath,1919-10-08,American,http://en.wikipedia.org/wiki/Jack_McGrath_(racing_driver)
1952,miller,,,Chet,Miller,1902-07-19,American,http://en.wikipedia.org/wiki/Chet_Miller
1952,charrington,,,Robin,Montgomerie-Charrington,1915-06-23,British,http://en.wikipedia.org/wiki/Robin_Montgomerie-Charrington
1952,moss,,,Stirling,Moss,1929-09-17,British,http://en.wikipedia.org/wiki/Stirling_Moss
1952,murray,,,David,Murray,1909-12-28,British,http://en.wikipedia.org/wiki/David_Murray_(driver)
1952,nalon,,,Duke,Nalon,1913-03-02,American,http://en.wikipedia.org/wiki/Duke_Nalon
1952,niedermayr,,,Helmut,Niedermayr,1915-11-29,German,http://en.wikipedia.org/wiki/Helmut_Niedermayr
1952,obrien,,,Robert,O'Brien,1908-04-11,American,http://en.wikipedia.org/wiki/Robert_O%27Brien_(auto_racer)
1952,reg_parnell,,,Reg,Parnell,1911-07-02,British,http://en.wikipedia.org/wiki/Reg_Parnell
1952,parsons,,,Johnnie,Parsons,1918-07-04,American,http://en.wikipedia.org/wiki/Johnnie_Parsons
1952,peters,,,Josef,Peters,1914-09-16,German,http://en.wikipedia.org/wiki/Josef_Peters_(driver)
1952,pietsch,,,Paul,Pietsch,1911-06-20,German,http://en.wikipedia.org/wiki/Paul_Pietsch
1952,poore,,,Dennis,Poore,1916-08-19,British,http://en.wikipedia.org/wiki/Dennis_Poore
1952,rathmann,,,Jim,Rathmann,1928-07-16,American,http://en.wikipedia.org/wiki/Jim_Rathmann
1952,reece,,,Jimmy,Reece,1929-11-17,American,http://en.wikipedia.org/wiki/Jimmy_Reece
1952,riess,,,Fritz,Riess,1922-07-11,German,http://en.wikipedia.org/wiki/Fritz_Riess
1952,rigsby,,,Jim,Rigsby,1923-06-06,American,http://en.wikipedia.org/wiki/Jim_Rigsby
1952,rol,,,Franco,Rol,1908-06-05,Italian,http://en.wikipedia.org/wiki/Franco_Rol
1952,rosier,,,Louis,Rosier,1905-11-05,French,http://en.wikipedia.org/wiki/Louis_Rosier
1952,ruttman,,,Troy,Ruttman,1930-03-11,American,http://en.wikipedia.org/wiki/Troy_Ruttman
1952,salvadori,,,Roy,Salvadori,1922-05-12,British,http://en.wikipedia.org/wiki/Roy_Salvadori
1952,schell,,,Harry,Schell,1921-06-29,American,http://en.wikipedia.org/wiki/Harry_Schell
